Student_ID,Attendance,Assignments,Internal_Marks,Lab_Marks,Final_Marks,Study_Hours,Section
S048,86.2,85.6,80.1,78.0,65.6,4.6,A
S049,94.0,93.5,85.2,89.9,63.2,3.9,B
S050,63.3,56.7,54.2,69.5,48.4,5.1,A
S051,56.1,67.3,77.1,68.1,62.5,3.6,A
S052,66.2,69.9,64.0,69.3,60.3,4.5,A
S053,79.7,86.3,68.3,69.7,65.4,5.5,C
S054,95.3,100.0,94.7,96.3,70.2,5.8,B
S055,71.8,77.9,62.8,74.8,61.4,3.7,C
S056,55.9,52.6,51.9,58.3,45.6,4.0,C
S057,82.2,78.4,81.9,82.7,58.2,4.6,B
S058,94.1,87.5,81.4,80.2,49.5,3.2,B
S059,,77.8,71.4,68.3,67.3,5.1,A
S060,78.8,86.1,79.3,72.2,68.6,4.1,A
S061,74.8,68.7,77.7,78.2,51.5,3.9,B
S062,54.3,59.4,50.5,60.5,36.4,6.2,B
S063,75.6,84.7,65.5,73.9,47.1,6.0,B
S064,68.5,69.6,71.3,69.4,57.6,2.4,C
S065,82.3,76.1,71.0,77.9,53.2,5.0,B
S066,68.3,63.0,64.3,57.0,41.1,4.6,B
S067,73.0,73.4,64.1,75.4,44.7,3.8,B
S068,,90.0,80.0,81.6,68.3,5.6,A
S069,65.3,73.6,53.8,47.2,51.2,3.9,A
S070,76.6,86.0,80.7,71.6,66.3,4.9,B
S071,,86.0,84.8,74.1,69.0,4.4,A
S072,100.0,100.0,93.0,100.0,65.6,4.5,B
S073,89.6,85.2,73.3,82.7,61.2,3.3,C
S074,75.4,76.1,81.6,77.6,63.0,1.6,A
S075,82.9,81.1,86.9,85.5,77.5,6.6,A
S076,86.2,93.0,87.0,91.1,69.8,3.7,A
S077,,87.7,72.9,74.1,65.0,4.5,A
S078,83.5,90.4,85.6,78.9,53.6,3.2,B
S079,85.4,81.8,72.8,78.7,50.4,5.2,B
S080,76.1,74.8,74.1,71.8,60.2,4.9,C
S081,,78.8,72.1,84.3,45.7,3.8,B
S082,86.6,72.6,71.6,75.4,53.6,5.7,B
S083,86.1,87.1,89.9,89.0,73.4,4.7,C
S084,86.4,91.7,86.8,75.7,70.9,2.0,A
S085,90.8,87.6,92.4,97.5,80.5,6.0,A
S086,75.7,81.3,74.8,72.2,76.8,6.2,A
S087,90.7,100.0,94.6,94.6,83.9,5.4,C
S088,92.9,94.1,78.5,88.8,50.8,3.6,B
S089,100.0,100.0,98.1,100.0,82.6,4.2,A
S090,73.7,74.4,62.6,69.8,52.2,4.1,B
S091,92.0,95.2,89.2,88.9,71.1,3.1,A
S092,70.5,80.1,74.5,64.6,55.7,4.1,B
S093,97.7,95.8,86.4,86.2,63.7,4.5,B
S094,100.0,97.2,86.7,92.3,73.5,4.4,A
S095,78.2,76.7,71.1,76.8,61.6,3.8,A
S096,81.2,85.3,89.9,77.9,47.6,2.1,B
S097,83.4,84.7,86.4,67.9,77.8,4.6,A
S098,70.2,70.0,64.3,68.1,67.8,5.6,A
S099,87.3,81.8,85.4,77.2,71.2,4.3,A
S100,100.0,100.0,100.0,100.0,93.7,3.7,C
S101,84.4,85.4,82.0,83.4,66.6,2.3,C
S102,67.4,74.9,70.6,67.7,45.7,5.0,B
S103,76.6,80.7,77.3,71.9,67.5,4.9,A
S104,,66.0,60.0,61.6,54.8,4.2,C
S105,88.0,88.6,84.0,91.9,71.8,5.4,C
S106,51.2,55.8,52.2,53.9,46.8,4.2,C
S107,90.8,91.2,92.9,83.8,64.5,4.6,B
S108,87.9,80.4,88.8,78.4,67.7,2.9,A
S109,,76.2,72.0,67.1,69.1,5.2,A
S110,99.5,100.0,85.0,93.8,73.6,3.3,C
S111,76.6,88.7,73.4,77.4,53.4,4.0,B
S112,84.9,90.9,88.3,82.6,69.8,4.8,A
S113,85.9,88.5,80.2,84.6,74.7,4.7,A
S114,84.5,89.6,68.2,85.8,35.6,0.6,B
S115,89.4,83.7,81.0,92.4,75.6,3.7,A
S116,84.6,93.1,80.6,76.0,69.6,4.1,C
S117,68.3,67.6,71.0,67.5,58.2,3.9,C
S118,87.7,82.2,77.0,88.8,59.0,3.8,C
S119,89.3,81.8,85.6,89.1,60.9,4.6,B
S120,70.3,69.4,63.5,71.3,55.3,5.7,B
S121,95.7,99.9,97.0,94.8,70.7,4.3,B
S122,79.5,82.3,82.6,80.4,59.8,4.5,B
S123,82.3,83.1,70.1,84.5,54.9,3.7,A
S124,68.5,74.8,68.2,68.9,50.8,4.8,B
S125,87.8,91.2,72.6,82.3,60.7,2.0,A
S126,87.1,90.9,81.0,78.5,56.8,4.7,B
S127,86.9,82.2,84.0,84.4,70.4,3.2,A
S128,90.4,88.2,82.7,85.3,67.3,4.7,A
S129,82.4,88.4,84.9,97.6,73.2,2.8,A
S130,86.1,87.1,83.7,81.7,59.8,5.7,B
S131,91.7,96.0,86.0,94.6,76.5,5.6,A
S132,76.6,81.9,70.1,74.5,68.3,4.4,C
S133,100.0,100.0,100.0,100.0,79.1,4.6,B
S134,82.5,79.1,73.4,85.4,60.2,3.9,A
S135,86.3,86.0,76.8,87.2,60.5,5.8,B
S136,97.7,100.0,92.8,93.7,74.3,4.7,A
S137,84.6,88.0,93.5,92.2,77.2,5.7,C
S138,70.5,74.0,68.9,75.1,48.5,3.8,B
S139,,75.1,66.4,69.9,57.6,4.0,C
S140,100.0,100.0,87.2,94.2,71.7,3.9,A
S141,96.2,100.0,94.1,95.0,67.0,4.1,B
S142,90.9,92.2,94.5,98.3,67.7,4.9,B
S143,83.2,86.3,77.1,82.0,65.2,4.5,C
S144,90.4,92.0,94.3,75.7,55.7,2.8,B
S145,78.3,73.8,71.4,73.1,62.5,6.7,B
S146,77.4,75.1,66.3,76.3,56.3,3.2,A
S147,64.0,69.7,65.8,67.1,57.7,2.9,A
S148,77.5,76.9,65.1,71.4,50.4,4.6,B
S149,87.7,88.6,77.3,83.3,68.1,6.1,B
S150,67.0,80.1,62.4,62.1,59.1,3.7,A
S151,,80.6,75.4,75.6,71.5,6.5,C
S152,89.9,92.9,85.3,76.6,61.4,2.8,C
S153,55.7,69.1,57.3,65.0,57.7,4.6,A
S154,76.1,79.6,68.1,74.8,48.3,4.8,B
S155,67.0,74.2,70.4,65.8,63.1,4.2,A
S156,95.4,97.6,81.2,95.6,62.3,3.7,B
S157,82.0,76.6,79.8,73.9,74.1,5.2,A
S158,,73.4,68.9,76.9,54.7,4.2,B
S159,82.2,80.7,79.2,73.9,65.7,4.2,C
S160,77.3,79.9,74.6,80.3,66.2,5.6,C
S161,84.2,88.8,80.7,92.8,69.1,4.6,A
S162,86.3,86.9,95.9,93.2,70.7,4.5,C
S163,90.8,88.9,80.6,78.6,59.5,3.8,A
S164,89.0,79.7,79.3,77.8,63.9,3.2,A
S165,64.6,67.9,57.9,47.8,44.0,3.2,B
S166,53.8,51.3,56.2,49.8,51.9,4.6,A
S167,,100.0,90.9,100.0,73.6,3.4,C
S168,76.5,85.9,84.6,82.2,65.6,2.6,C
S169,82.9,87.0,91.8,89.8,82.0,4.6,A
S170,90.3,100.0,83.6,81.7,76.8,4.6,C
S171,73.6,91.3,76.4,72.1,69.5,5.1,A
S172,82.7,76.0,79.2,88.0,52.8,4.7,B
S173,76.3,78.7,73.0,80.5,62.1,2.5,A
S174,80.7,75.6,82.8,83.4,63.0,5.2,C
S175,92.9,85.3,88.2,91.1,73.6,4.8,A
S176,91.8,94.0,68.6,82.3,57.5,4.0,A
S177,88.9,80.5,82.6,77.4,60.0,3.5,B
S178,79.4,70.2,83.9,78.6,67.6,4.0,C
S179,,69.3,64.9,64.4,58.3,3.6,C
S180,88.2,87.5,85.1,81.5,70.0,6.4,C
