Txn_ID,Month,Product,Region,Sales,Returns,Discount,Delivery_Time,Customer_Rating,Traffic,Marketing_Spend
T0154,June,Beta,East,106215,39,4.3,3.3,3.8,1287,44713
T0155,June,Beta,South,101912,35,11.3,1.9,3.4,885,49100
T0156,June,Alpha,West,102406,48,9.2,2.5,4.8,1014,48002
T0157,June,Gamma,East,102206,18,11.1,3.4,4.3,1058,48801
T0158,June,Alpha,East,113719,18,7.9,1.6,4.0,973,54978
T0159,June,Alpha,West,95100,56,6.9,2.5,4.6,770,43602
T0160,June,Alpha,East,95415,50,7.4,3.0,4.7,1017,51966
T0161,June,Gamma,East,104059,39,1.4,2.7,4.5,978,52001
T0162,June,Beta,North,100337,52,10.2,2.6,3.6,863,49292
T0163,June,Gamma,North,112521,29,10.5,2.1,4.0,1154,41326
T0164,June,Beta,East,88110,39,6.1,3.5,3.9,848,44151
T0165,June,Gamma,East,112027,30,14.2,2.0,3.2,971,62291
T0166,June,Gamma,East,116750,44,8.6,2.4,3.9,1139,55230
T0167,June,Alpha,South,105305,49,6.4,2.9,4.5,1013,55395
T0168,June,Beta,West,95968,18,12.7,2.2,5.0,805,47332
T0169,June,Gamma,West,109186,34,11.7,2.4,5.0,1092,54838
T0170,June,Beta,East,91790,46,7.0,3.4,4.6,944,52327
T0171,June,Alpha,East,106405,57,9.8,2.2,4.0,1011,50054
T0172,June,Alpha,South,98046,46,12.0,2.8,3.8,938,55501
T0173,June,Gamma,South,116016,60,7.1,2.0,3.1,1116,54371
T0174,June,Beta,North,98182,40,8.9,2.2,3.8,834,46828
T0175,June,Alpha,North,118851,48,12.5,1.6,3.6,1093,53764
T0176,June,Alpha,East,127738,29,15.8,1.5,4.6,986,59210
T0177,June,Alpha,South,99176,54,9.7,2.8,4.1,880,52466
T0178,June,Alpha,East,107639,33,12.2,2.1,3.8,1131,52901
T0179,June,Beta,North,103397,30,14.3,3.3,4.9,1117,49224
T0180,June,Gamma,East,118367,30,7.3,1.6,5.0,1015,48301
